variant,epoch,batch,loss,lr
v002_d_pool_retrain,1,94,0.13233329355716705,0.001
v002_d_pool_retrain,1,95,0.11973290890455246,0.001
v002_d_pool_retrain,1,96,0.11530312150716782,0.001
v002_d_pool_retrain,1,97,0.11486899107694626,0.001
v002_d_pool_retrain,1,98,0.1330161839723587,0.001
v002_d_pool_retrain,2,0,0.1101420596241951,0.001
v002_d_pool_retrain,2,1,0.1344495266675949,0.001
v002_d_pool_retrain,2,2,0.10918761789798737,0.001
v002_d_pool_retrain,2,3,0.1270444244146347,0.001
v002_d_pool_retrain,2,4,0.13111670315265656,0.001
v002_d_pool_retrain,2,5,0.1300298124551773,0.001
v002_d_pool_retrain,2,6,0.10689237713813782,0.001
v002_d_pool_retrain,2,7,0.11600341647863388,0.001
v002_d_pool_retrain,2,8,0.11366867274045944,0.001
v002_d_pool_retrain,2,9,0.11486901342868805,0.001
v002_d_pool_retrain,2,10,0.11612680554389954,0.001
v002_d_pool_retrain,2,11,0.10985562950372696,0.001
v002_d_pool_retrain,2,12,0.10609608888626099,0.001
v002_d_pool_retrain,2,13,0.12186389416456223,0.001
v002_d_pool_retrain,2,14,0.14212638139724731,0.001
v002_d_pool_retrain,2,15,0.10464062541723251,0.001
v002_d_pool_retrain,2,16,0.11047497391700745,0.001
v002_d_pool_retrain,2,17,0.1619209200143814,0.001
v002_d_pool_retrain,2,18,0.10310239344835281,0.001
v002_d_pool_retrain,2,19,0.10092183947563171,0.001
v002_d_pool_retrain,2,20,0.11433642357587814,0.001
v002_d_pool_retrain,2,21,0.11130733042955399,0.001
v002_d_pool_retrain,2,22,0.11339806765317917,0.001
v002_d_pool_retrain,2,23,0.10633239150047302,0.001
v002_d_pool_retrain,2,24,0.11881761252880096,0.001
v002_d_pool_retrain,2,25,0.11835207790136337,0.001
v002_d_pool_retrain,2,26,0.11116760224103928,0.001
v002_d_pool_retrain,2,27,0.09935840964317322,0.001
v002_d_pool_retrain,2,28,0.10373904556035995,0.001
v002_d_pool_retrain,2,29,0.10184630751609802,0.001
v002_d_pool_retrain,2,30,0.09637711197137833,0.001
v002_d_pool_retrain,2,31,0.11170139163732529,0.001
v002_d_pool_retrain,2,32,0.09578752517700195,0.001
v002_d_pool_retrain,2,33,0.10615702718496323,0.001
v002_d_pool_retrain,2,34,0.10396084934473038,0.001
v002_d_pool_retrain,2,35,0.09655926376581192,0.001
v002_d_pool_retrain,2,36,0.09516792744398117,0.001
v002_d_pool_retrain,2,37,0.10506690293550491,0.001
v002_d_pool_retrain,2,38,0.156701922416687,0.001
v002_d_pool_retrain,2,39,0.10467080771923065,0.001
v002_d_pool_retrain,2,40,0.09443001449108124,0.001
v002_d_pool_retrain,2,41,0.12163697183132172,0.001
v002_d_pool_retrain,2,42,0.11115298420190811,0.001
v002_d_pool_retrain,2,43,0.09670484811067581,0.001
v002_d_pool_retrain,2,44,0.1791953295469284,0.001
v002_d_pool_retrain,2,45,0.09192367643117905,0.001
v002_d_pool_retrain,2,46,0.09213273972272873,0.001
v002_d_pool_retrain,2,47,0.09337154775857925,0.001
v002_d_pool_retrain,2,48,0.0949016809463501,0.001
v002_d_pool_retrain,2,49,0.09552626311779022,0.001
v002_d_pool_retrain,2,50,0.08946842700242996,0.001
v002_d_pool_retrain,2,51,0.09257145971059799,0.001
v002_d_pool_retrain,2,52,0.09432253241539001,0.001
v002_d_pool_retrain,2,53,0.11350607126951218,0.001
v002_d_pool_retrain,2,54,0.08873213082551956,0.001
v002_d_pool_retrain,2,55,0.08770245313644409,0.001
v002_d_pool_retrain,2,56,0.08847232162952423,0.001
v002_d_pool_retrain,2,57,0.09717486053705215,0.001
v002_d_pool_retrain,2,58,0.09658125042915344,0.001
v002_d_pool_retrain,2,59,0.1347672939300537,0.001
v002_d_pool_retrain,2,60,0.09020911902189255,0.001
v002_d_pool_retrain,2,61,0.1197175458073616,0.001
v002_d_pool_retrain,2,62,0.10092415660619736,0.001
v002_d_pool_retrain,2,63,0.09231730550527573,0.001
v002_d_pool_retrain,2,64,0.08898300677537918,0.001
v002_d_pool_retrain,2,65,0.08693338185548782,0.001
v002_d_pool_retrain,2,66,0.09185392409563065,0.001
v002_d_pool_retrain,2,67,0.09950807690620422,0.001
v002_d_pool_retrain,2,68,0.08398466557264328,0.001
v002_d_pool_retrain,2,69,0.12649226188659668,0.001
v002_d_pool_retrain,2,70,0.08927156031131744,0.001
v002_d_pool_retrain,2,71,0.08302104473114014,0.001
v002_d_pool_retrain,2,72,0.08639035373926163,0.001
v002_d_pool_retrain,2,73,0.09890245646238327,0.001
v002_d_pool_retrain,2,74,0.08494879305362701,0.001
v002_d_pool_retrain,2,75,0.08472571521997452,0.001
v002_d_pool_retrain,2,76,0.0992908775806427,0.001
v002_d_pool_retrain,2,77,0.0883726179599762,0.001
v002_d_pool_retrain,2,78,0.09072922170162201,0.001
v002_d_pool_retrain,2,79,0.10385487973690033,0.001
v002_d_pool_retrain,2,80,0.07830385863780975,0.001
v002_d_pool_retrain,2,81,0.13259059190750122,0.001
v002_d_pool_retrain,2,82,0.1001497134566307,0.001
v002_d_pool_retrain,2,83,0.08492530137300491,0.001
v002_d_pool_retrain,2,84,0.084994837641716,0.001
v002_d_pool_retrain,2,85,0.07869252562522888,0.001
v002_d_pool_retrain,2,86,0.0842665508389473,0.001
v002_d_pool_retrain,2,87,0.09332214295864105,0.001
v002_d_pool_retrain,2,88,0.07535096257925034,0.001
v002_d_pool_retrain,2,89,0.0847664549946785,0.001
v002_d_pool_retrain,2,90,0.09666340053081512,0.001
v002_d_pool_retrain,2,91,0.10073258727788925,0.001
v002_d_pool_retrain,2,92,0.10590432584285736,0.001
v002_d_pool_retrain,2,93,0.0791153684258461,0.001
v002_d_pool_retrain,2,94,0.07658180594444275,0.001
v002_d_pool_retrain,2,95,0.09310762584209442,0.001
v002_d_pool_retrain,2,96,0.0856195017695427,0.001
v002_d_pool_retrain,2,97,0.11413071304559708,0.001
v002_d_pool_retrain,2,98,0.08570807427167892,0.001
v002_d_pool_retrain,3,0,0.07710722833871841,0.001
v002_d_pool_retrain,3,1,0.07676136493682861,0.001
v002_d_pool_retrain,3,2,0.07289968430995941,0.001
v002_d_pool_retrain,3,3,0.07406581938266754,0.001
v002_d_pool_retrain,3,4,0.0856025218963623,0.001
v002_d_pool_retrain,3,5,0.10478155314922333,0.001
v002_d_pool_retrain,3,6,0.08472434431314468,0.001
v002_d_pool_retrain,3,7,0.07398902624845505,0.001
v002_d_pool_retrain,3,8,0.0877821147441864,0.001
v002_d_pool_retrain,3,9,0.07398440688848495,0.001
v002_d_pool_retrain,3,10,0.097513847053051,0.001
v002_d_pool_retrain,3,11,0.09480214864015579,0.001
v002_d_pool_retrain,3,12,0.07275409996509552,0.001
v002_d_pool_retrain,3,13,0.0850733295083046,0.001
v002_d_pool_retrain,3,14,0.07507530599832535,0.001
v002_d_pool_retrain,3,15,0.07894468307495117,0.001
v002_d_pool_retrain,3,16,0.0856487900018692,0.001
v002_d_pool_retrain,3,17,0.07646199315786362,0.001
v002_d_pool_retrain,3,18,0.06911125034093857,0.001
v002_d_pool_retrain,3,19,0.07027449458837509,0.001
v002_d_pool_retrain,3,20,0.0733565017580986,0.001
v002_d_pool_retrain,3,21,0.09126461297273636,0.001
v002_d_pool_retrain,3,22,0.07794711738824844,0.001
v002_d_pool_retrain,3,23,0.07492274791002274,0.001
v002_d_pool_retrain,3,24,0.13445685803890228,0.001
v002_d_pool_retrain,3,25,0.07791560143232346,0.001
v002_d_pool_retrain,3,26,0.06906242668628693,0.001
v002_d_pool_retrain,3,27,0.06867776066064835,0.001
v002_d_pool_retrain,3,28,0.07810044288635254,0.001
v002_d_pool_retrain,3,29,0.067433662712574,0.001
v002_d_pool_retrain,3,30,0.15806405246257782,0.001
v002_d_pool_retrain,3,31,0.08820212632417679,0.001
v002_d_pool_retrain,3,32,0.07516949623823166,0.001
v002_d_pool_retrain,3,33,0.06585884839296341,0.001
v002_d_pool_retrain,3,34,0.12197937071323395,0.001
v002_d_pool_retrain,3,35,0.09052123129367828,0.001
v002_d_pool_retrain,3,36,0.07289291173219681,0.001
v002_d_pool_retrain,3,37,0.06505225598812103,0.001
v002_d_pool_retrain,3,38,0.08627665042877197,0.001
v002_d_pool_retrain,3,39,0.06653663516044617,0.001
v002_d_pool_retrain,3,40,0.08586006611585617,0.001
v002_d_pool_retrain,3,41,0.10200051963329315,0.001
v002_d_pool_retrain,3,42,0.06346505135297775,0.001
v002_d_pool_retrain,3,43,0.0662023201584816,0.001
v002_d_pool_retrain,3,44,0.123695507645607,0.001
v002_d_pool_retrain,3,45,0.06353353708982468,0.001
v002_d_pool_retrain,3,46,0.06911452114582062,0.001
v002_d_pool_retrain,3,47,0.06415781378746033,0.001
v002_d_pool_retrain,3,48,0.07672201842069626,0.001
v002_d_pool_retrain,3,49,0.07664476335048676,0.001
v002_d_pool_retrain,3,50,0.07293203473091125,0.001
v002_d_pool_retrain,3,51,0.06301042437553406,0.001
v002_d_pool_retrain,3,52,0.06446237862110138,0.001
v002_d_pool_retrain,3,53,0.0766615942120552,0.001
v002_d_pool_retrain,3,54,0.07497414201498032,0.001
v002_d_pool_retrain,3,55,0.09188544750213623,0.001
v002_d_pool_retrain,3,56,0.06086274981498718,0.001
v002_d_pool_retrain,3,57,0.08139952272176743,0.001
v002_d_pool_retrain,3,58,0.06847826391458511,0.001
v002_d_pool_retrain,3,59,0.07475210726261139,0.001
v002_d_pool_retrain,3,60,0.06810355931520462,0.001
v002_d_pool_retrain,3,61,0.06297358125448227,0.001
v002_d_pool_retrain,3,62,0.06602565199136734,0.001
v002_d_pool_retrain,3,63,0.06559894233942032,0.001
v002_d_pool_retrain,3,64,0.060173626989126205,0.001
v002_d_pool_retrain,3,65,0.06449499726295471,0.001
v002_d_pool_retrain,3,66,0.062413476407527924,0.001
v002_d_pool_retrain,3,67,0.0636541098356247,0.001
v002_d_pool_retrain,3,68,0.06171857938170433,0.001
v002_d_pool_retrain,3,69,0.064387246966362,0.001
v002_d_pool_retrain,3,70,0.06265044212341309,0.001
v002_d_pool_retrain,3,71,0.09810250997543335,0.001
v002_d_pool_retrain,3,72,0.06873305886983871,0.001
v002_d_pool_retrain,3,73,0.0696767121553421,0.001
v002_d_pool_retrain,3,74,0.08562082052230835,0.001
v002_d_pool_retrain,3,75,0.05738326162099838,0.001
v002_d_pool_retrain,3,76,0.06173137202858925,0.001
