group,epoch,batch,loss,lr
D,2,50,0.12819696962833405,0.001
D,2,51,0.12256187200546265,0.001
D,2,52,0.0932631567120552,0.001
D,2,53,0.1472473442554474,0.001
D,2,54,0.11646707355976105,0.001
D,2,55,0.09211950749158859,0.001
D,2,56,0.08988085389137268,0.001
D,2,57,0.09041614830493927,0.001
D,2,58,0.12053940445184708,0.001
D,2,59,0.08944066613912582,0.001
D,2,60,0.08927570283412933,0.001
D,2,61,0.1084228977560997,0.001
D,2,62,0.09425092488527298,0.001
D,2,63,0.09914788603782654,0.001
D,2,64,0.09144492447376251,0.001
D,2,65,0.08662697672843933,0.001
D,2,66,0.10112529247999191,0.001
D,2,67,0.09404798597097397,0.001
D,2,68,0.08542120456695557,0.001
D,2,69,0.10578107088804245,0.001
D,2,70,0.09753721207380295,0.001
D,2,71,0.08709980547428131,0.001
D,2,72,0.0859508216381073,0.001
D,2,73,0.10397062450647354,0.001
D,2,74,0.08714322000741959,0.001
D,2,75,0.09508711844682693,0.001
D,2,76,0.08919762074947357,0.001
D,2,77,0.08667107671499252,0.001
D,2,78,0.10704495757818222,0.001
D,2,79,0.11580764502286911,0.001
D,2,80,0.08625306189060211,0.001
D,2,81,0.08217925578355789,0.001
D,2,82,0.10543107986450195,0.001
D,2,83,0.08647724986076355,0.001
D,2,84,0.08729273080825806,0.001
D,2,85,0.08690699189901352,0.001
D,2,86,0.15141932666301727,0.001
D,2,87,0.0959555059671402,0.001
D,2,88,0.1344412863254547,0.001
D,2,89,0.0912354588508606,0.001
D,2,90,0.0911731943488121,0.001
D,2,91,0.09487128257751465,0.001
D,2,92,0.09131370484828949,0.001
D,2,93,0.08533015847206116,0.001
D,2,94,0.08295968174934387,0.001
D,2,95,0.14789262413978577,0.001
D,2,96,0.08607720583677292,0.001
D,2,97,0.08475800603628159,0.001
D,2,98,0.08208292722702026,0.001
D,3,0,0.08522988110780716,0.001
D,3,1,0.09026550501585007,0.001
D,3,2,0.11150527000427246,0.001
D,3,3,0.08228451758623123,0.001
D,3,4,0.07634647190570831,0.001
D,3,5,0.09502231329679489,0.001
D,3,6,0.11103859543800354,0.001
D,3,7,0.08044026792049408,0.001
D,3,8,0.08718293160200119,0.001
D,3,9,0.07820308953523636,0.001
D,3,10,0.07431051135063171,0.001
D,3,11,0.107350192964077,0.001
D,3,12,0.09892567992210388,0.001
D,3,13,0.09133678674697876,0.001
D,3,14,0.10592026263475418,0.001
D,3,15,0.07223805785179138,0.001
D,3,16,0.08157281577587128,0.001
D,3,17,0.14554928243160248,0.001
D,3,18,0.07078199088573456,0.001
D,3,19,0.0714932531118393,0.001
D,3,20,0.08835554122924805,0.001
D,3,21,0.07977455854415894,0.001
D,3,22,0.0769658163189888,0.001
D,3,23,0.07809089124202728,0.001
D,3,24,0.11987778544425964,0.001
D,3,25,0.1442686766386032,0.001
D,3,26,0.08953630179166794,0.001
D,3,27,0.07680423557758331,0.001
D,3,28,0.07398713380098343,0.001
D,3,29,0.07476077973842621,0.001
D,3,30,0.08008112013339996,0.001
D,3,31,0.11218195408582687,0.001
D,3,32,0.07982126623392105,0.001
D,3,33,0.07002153992652893,0.001
D,3,34,0.06928037852048874,0.001
D,3,35,0.08274989575147629,0.001
D,3,36,0.08239500224590302,0.001
D,3,37,0.07023488730192184,0.001
D,3,38,0.07802095264196396,0.001
D,3,39,0.07125255465507507,0.001
D,3,40,0.07588747888803482,0.001
D,3,41,0.06603938341140747,0.001
D,3,42,0.06945653259754181,0.001
D,3,43,0.06769943982362747,0.001
D,3,44,0.11993607878684998,0.001
D,3,45,0.08419773727655411,0.001
D,3,46,0.06788110733032227,0.001
D,3,47,0.06794758141040802,0.001
D,3,48,0.06508515030145645,0.001
D,3,49,0.07292608171701431,0.001
D,3,50,0.07444003969430923,0.001
D,3,51,0.07097342610359192,0.001
D,3,52,0.07424594461917877,0.001
D,3,53,0.07552620768547058,0.001
D,3,54,0.07509439438581467,0.001
D,3,55,0.08661171793937683,0.001
D,3,56,0.06879822909832001,0.001
D,3,57,0.06309276819229126,0.001
D,3,58,0.07007292658090591,0.001
D,3,59,0.062365103513002396,0.001
D,3,60,0.07007602602243423,0.001
D,3,61,0.07478189468383789,0.001
D,3,62,0.06414465606212616,0.001
D,3,63,0.06282290071249008,0.001
D,3,64,0.062376394867897034,0.001
D,3,65,0.06121134012937546,0.001
D,3,66,0.06674987822771072,0.001
D,3,67,0.05955732241272926,0.001
D,3,68,0.06366574764251709,0.001
D,3,69,0.07856622338294983,0.001
D,3,70,0.06127023696899414,0.001
D,3,71,0.0609109103679657,0.001
D,3,72,0.08522060513496399,0.001
D,3,73,0.06329192966222763,0.001
D,3,74,0.0783175453543663,0.001
D,3,75,0.06910357624292374,0.001
D,3,76,0.06236199289560318,0.001
D,3,77,0.06512021273374557,0.001
D,3,78,0.05878736451268196,0.001
D,3,79,0.056211698800325394,0.001
D,3,80,0.06771615147590637,0.001
D,3,81,0.060745883733034134,0.001
D,3,82,0.06609319895505905,0.001
D,3,83,0.0701032429933548,0.001
D,3,84,0.05723526328802109,0.001
D,3,85,0.08898559212684631,0.001
D,3,86,0.06175544112920761,0.001
D,3,87,0.058398593217134476,0.001
D,3,88,0.05626828968524933,0.001
D,3,89,0.06252675503492355,0.001
D,3,90,0.05613198131322861,0.001
D,3,91,0.05910817161202431,0.001
D,3,92,0.07754898071289062,0.001
D,3,93,0.057855285704135895,0.001
D,3,94,0.06012720242142677,0.001
D,3,95,0.06433004140853882,0.001
D,3,96,0.05656503885984421,0.001
D,3,97,0.05722055584192276,0.001
D,3,98,0.056886930018663406,0.001
D,4,0,0.05706675723195076,0.001
D,4,1,0.08102592825889587,0.001
D,4,2,0.06367597728967667,0.001
D,4,3,0.06397905200719833,0.001
D,4,4,0.061753708869218826,0.001
D,4,5,0.053981564939022064,0.001
D,4,6,0.058271363377571106,0.001
D,4,7,0.11648456752300262,0.001
D,4,8,0.05936436355113983,0.001
D,4,9,0.05978154018521309,0.001
D,4,10,0.0616191104054451,0.001
D,4,11,0.05984583497047424,0.001
D,4,12,0.08620180934667587,0.001
D,4,13,0.052188243716955185,0.001
D,4,14,0.06398268043994904,0.001
D,4,15,0.05177684873342514,0.001
D,4,16,0.11260988563299179,0.001
D,4,17,0.0646185502409935,0.001
D,4,18,0.06843190640211105,0.001
D,4,19,0.06136232614517212,0.001
D,4,20,0.051035746932029724,0.001
D,4,21,0.0646013543009758,0.001
D,4,22,0.06110166385769844,0.001
D,4,23,0.06149573624134064,0.001
D,4,24,0.053409043699502945,0.001
D,4,25,0.06887949258089066,0.001
D,4,26,0.055769357830286026,0.001
D,4,27,0.06958451867103577,0.001
D,4,28,0.06305698305368423,0.001
D,4,29,0.09426414221525192,0.001
D,4,30,0.05063865706324577,0.001
D,4,31,0.052430301904678345,0.001
D,4,32,0.07354386150836945,0.001
D,4,33,0.065916508436203,0.001
D,4,34,0.05430511385202408,0.001
D,4,35,0.058284275233745575,0.001
D,4,36,0.07140975445508957,0.001
D,4,37,0.04878091812133789,0.001
D,4,38,0.05482681840658188,0.001
D,4,39,0.048617321997880936,0.001
D,4,40,0.05599944293498993,0.001
D,4,41,0.04911888763308525,0.001
D,4,42,0.05062318965792656,0.001
D,4,43,0.06964468955993652,0.001
D,4,44,0.07087001204490662,0.001
D,4,45,0.050953201949596405,0.001
D,4,46,0.09415647387504578,0.001
D,4,47,0.04722261056303978,0.001
D,4,48,0.05522273853421211,0.001
D,4,49,0.048968326300382614,0.001
D,4,50,0.04745059832930565,0.001
D,4,51,0.04471622779965401,0.001
D,4,52,0.05531022325158119,0.001
D,4,53,0.05749025195837021,0.001
D,4,54,0.05718774348497391,0.001
