step,epoch,loss
1021,5,0.0605
1022,5,0.0389
1023,5,0.0389
1024,5,0.0411
1025,5,0.0411
1026,5,0.0475
1027,5,0.0475
1028,5,0.0458
1029,5,0.0458
1030,5,0.0567
1031,5,0.0567
1032,5,0.0616
1033,5,0.0616
1034,5,0.0385
1035,5,0.0385
1036,5,0.0473
1037,5,0.0473
1038,5,0.0599
1039,5,0.0599
1040,5,0.0466
1041,5,0.0466
1042,5,0.0374
1043,5,0.0374
1044,5,0.0399
1045,5,0.0399
1046,5,0.053
1047,5,0.053
1048,5,0.0608
1049,5,0.0608
1050,5,0.039
1051,5,0.039
1052,5,0.0444
1053,5,0.0444
1054,5,0.0546
1055,5,0.0546
1056,5,0.0525
1057,5,0.0525
1058,5,0.0564
1059,5,0.0564
1060,5,0.0455
1061,5,0.0455
1062,5,0.0469
1063,5,0.0469
1064,5,0.0432
1065,5,0.0432
1066,5,0.0491
1067,5,0.0491
1068,5,0.0636
1069,5,0.0636
1070,5,0.0378
1071,5,0.0378
1072,5,0.0516
1073,5,0.0516
1074,5,0.0466
1075,5,0.0466
1076,5,0.0479
1077,5,0.0479
1078,5,0.0368
1079,5,0.0368
1080,5,0.053
1081,5,0.053
1082,5,0.039
1083,5,0.039
1084,5,0.0687
1085,5,0.0687
1086,5,0.0442
1087,5,0.0442
1088,5,0.0472
1089,5,0.0472
1090,5,0.0356
1091,5,0.0356
1092,5,0.0398
1093,5,0.0398
1094,5,0.0362
1095,5,0.0362
1096,5,0.0395
1097,5,0.0395
1098,5,0.0361
1099,5,0.0361
1100,5,0.0474
1101,5,0.0474
1102,5,0.0376
1103,5,0.0376
1104,5,0.0363
1105,5,0.0363
1106,5,0.0369
1107,5,0.0369
1108,5,0.0557
1109,5,0.0557
1110,5,0.063
1111,5,0.063
1112,5,0.0434
1113,5,0.0434
1114,5,0.0446
1115,5,0.0446
1116,5,0.0358
1117,5,0.0358
1118,5,0.0429
1119,5,0.0429
1120,5,0.0371
1121,5,0.0371
1122,5,0.0358
1123,5,0.0358
1124,5,0.0407
1125,5,0.0407
1126,5,0.0366
1127,5,0.0366
1128,5,0.0452
1129,5,0.0452
1130,5,0.0366
1131,5,0.0366
1132,5,0.0348
1133,5,0.0348
1134,5,0.0605
1135,5,0.0605
1136,5,0.0348
1137,5,0.0348
1138,5,0.0382
1139,5,0.0382
1140,5,0.0436
1141,5,0.0436
1142,5,0.0364
1143,5,0.0364
1144,5,0.0345
1145,5,0.0345
1146,5,0.0551
1147,5,0.0551
1148,5,0.0332
1149,5,0.0332
1150,5,0.0341
1151,5,0.0341
1152,5,0.0431
1153,5,0.0431
1154,5,0.031
1155,5,0.031
1156,5,0.0371
1157,5,0.0371
1158,5,0.0363
1159,5,0.0363
1160,5,0.0511
1161,5,0.0511
1162,5,0.0671
1163,5,0.0671
1164,5,0.0402
1165,5,0.0402
1166,5,0.034
1167,5,0.034
1168,5,0.0336
1169,5,0.0336
1170,5,0.0388
1171,5,0.0388
1172,5,0.0752
1173,5,0.0752
1174,5,0.0824
1175,5,0.0824
1176,5,0.0406
1177,5,0.0406
1178,5,0.054
1179,5,0.054
1180,5,0.0379
1181,5,0.0379
1182,5,0.0416
1183,5,0.0416
1184,5,0.0445
1185,5,0.0445
1186,5,0.0387
1187,5,0.0387
1188,5,0.0396
1189,5,0.0396
1190,5,0.0336
1191,5,0.0336
1192,5,0.106
1193,5,0.106
1194,5,0.106
1195,6,0.0391
1196,6,0.0391
1197,6,0.0495
1198,6,0.0495
1199,6,0.0369
1200,6,0.0369
1201,6,0.0469
1202,6,0.0469
1203,6,0.0444
1204,6,0.0444
1205,6,0.0368
1206,6,0.0368
1207,6,0.0407
1208,6,0.0407
1209,6,0.0405
1210,6,0.0405
1211,6,0.0702
1212,6,0.0702
1213,6,0.0428
1214,6,0.0428
1215,6,0.037
1216,6,0.037
1217,6,0.0338
1218,6,0.0338
1219,6,0.034
1220,6,0.034
1221,6,0.0447
1222,6,0.0447
1223,6,0.0405
1224,6,0.0405
1225,6,0.052
1226,6,0.052
1227,6,0.0609
1228,6,0.0609
1229,6,0.0432
1230,6,0.0432
1231,6,0.0698
1232,6,0.0698
1233,6,0.121
1234,6,0.121
1235,6,0.0363
1236,6,0.0363
1237,6,0.0343
1238,6,0.0343
1239,6,0.0469
1240,6,0.0469
1241,6,0.0481
1242,6,0.0481
1243,6,0.0443
1244,6,0.0443
1245,6,0.0349
1246,6,0.0349
1247,6,0.0317
1248,6,0.0317
1249,6,0.0324
1250,6,0.0324
1251,6,0.0336
1252,6,0.0336
1253,6,0.0335
1254,6,0.0335
1255,6,0.0451
1256,6,0.0451
1257,6,0.0336
1258,6,0.0336
1259,6,0.0336
1260,6,0.0336
1261,6,0.0588
1262,6,0.0588
1263,6,0.0339
1264,6,0.0339
1265,6,0.0389
1266,6,0.0389
1267,6,0.0353
1268,6,0.0353
1269,6,0.0462
1270,6,0.0462
1271,6,0.0374
1272,6,0.0374
1273,6,0.0576
1274,6,0.0576
1275,6,0.0427
1276,6,0.0427
1277,6,0.0297
1278,6,0.0297
1279,6,0.0411
1280,6,0.0411
1281,6,0.0575
1282,6,0.0575
1283,6,0.0316
1284,6,0.0316
1285,6,0.0373
1286,6,0.0373
1287,6,0.0385
1288,6,0.0385
1289,6,0.0377
1290,6,0.0377
1291,6,0.0385
1292,6,0.0385
1293,6,0.0275
1294,6,0.0275
1295,6,0.039
1296,6,0.039
1297,6,0.0379
1298,6,0.0379
1299,6,0.0311
1300,6,0.0311
1301,6,0.0347
1302,6,0.0347
1303,6,0.0301
1304,6,0.0301
1305,6,0.038
1306,6,0.038
1307,6,0.0384
1308,6,0.0384
1309,6,0.0604
1310,6,0.0604
1311,6,0.0337
1312,6,0.0337
1313,6,0.0329
1314,6,0.0329
1315,6,0.0294
1316,6,0.0294
1317,6,0.0678
1318,6,0.0678
1319,6,0.0307
1320,6,0.0307
1321,6,0.0512
1322,6,0.0512
1323,6,0.0378
1324,6,0.0378
1325,6,0.034
1326,6,0.034
1327,6,0.0422
1328,6,0.0422
1329,6,0.0466
1330,6,0.0466
1331,6,0.0293
1332,6,0.0293
1333,6,0.0278
1334,6,0.0278
1335,6,0.0358
1336,6,0.0358
1337,6,0.031
1338,6,0.031
1339,6,0.0299
1340,6,0.0299
1341,6,0.0616
1342,6,0.0616
1343,6,0.0304
1344,6,0.0304
1345,6,0.0299
1346,6,0.0299
1347,6,0.0272
1348,6,0.0272
1349,6,0.0399
1350,6,0.0399
1351,6,0.0269
1352,6,0.0269
1353,6,0.0297
1354,6,0.0297
1355,6,0.0403
1356,6,0.0403
1357,6,0.0298
1358,6,0.0298
1359,6,0.0332
1360,6,0.0332
1361,6,0.0359
1362,6,0.0359
1363,6,0.045
1364,6,0.045
1365,6,0.0361
1366,6,0.0361
1367,6,0.0543
1368,6,0.0543
1369,6,0.0358
1370,6,0.0358
1371,6,0.0282
1372,6,0.0282
1373,6,0.0305
1374,6,0.0305
1375,6,0.0511
1376,6,0.0511
1377,6,0.0274
1378,6,0.0274
1379,6,0.0465
1380,6,0.0465
1381,6,0.0479
1382,6,0.0479
1383,6,0.0431
1384,6,0.0431
1385,6,0.0307
1386,6,0.0307
1387,6,0.0279
1388,6,0.0279
1389,6,0.0378
1390,6,0.0378
1391,6,0.0352
1392,6,0.0352
1393,6,0.0352
1394,7,0.0414
1395,7,0.0414
1396,7,0.0426
1397,7,0.0426
1398,7,0.0298
1399,7,0.0298
1400,7,0.0415
1401,7,0.0415
1402,7,0.0438
1403,7,0.0438
1404,7,0.0326
1405,7,0.0326
1406,7,0.0295
1407,7,0.0295
1408,7,0.0275
1409,7,0.0275
1410,7,0.0291
1411,7,0.0291
1412,7,0.0331
1413,7,0.0331
1414,7,0.0381
1415,7,0.0381
1416,7,0.0545
1417,7,0.0545
1418,7,0.0333
1419,7,0.0333
1420,7,0.0454
1421,7,0.0454
1422,7,0.0274
1423,7,0.0274
1424,7,0.0372
1425,7,0.0372
1426,7,0.0551
1427,7,0.0551
1428,7,0.0498
1429,7,0.0498
1430,7,0.0382
1431,7,0.0382
1432,7,0.0284
1433,7,0.0284
1434,7,0.0291
1435,7,0.0291
1436,7,0.0266
1437,7,0.0266
1438,7,0.028
1439,7,0.028
1440,7,0.0311
1441,7,0.0311
1442,7,0.0325
1443,7,0.0325
1444,7,0.0252
1445,7,0.0252
1446,7,0.0357
1447,7,0.0357
1448,7,0.028
1449,7,0.028
1450,7,0.0361
1451,7,0.0361
1452,7,0.0316
1453,7,0.0316
1454,7,0.05
1455,7,0.05
1456,7,0.0337
1457,7,0.0337
1458,7,0.0394
1459,7,0.0394
1460,7,0.0265
1461,7,0.0265
1462,7,0.0285
1463,7,0.0285
1464,7,0.0413
1465,7,0.0413
1466,7,0.032
1467,7,0.032
1468,7,0.0325
1469,7,0.0325
1470,7,0.0371
1471,7,0.0371
1472,7,0.0416
1473,7,0.0416
1474,7,0.0274
1475,7,0.0274
1476,7,0.0297
1477,7,0.0297
1478,7,0.0337
1479,7,0.0337
1480,7,0.0298
1481,7,0.0298
1482,7,0.0271
1483,7,0.0271
1484,7,0.0389
1485,7,0.0389
1486,7,0.0499
1487,7,0.0499
1488,7,0.0414
1489,7,0.0414
1490,7,0.044
1491,7,0.044
1492,7,0.0264
1493,7,0.0264
1494,7,0.0322
1495,7,0.0322
1496,7,0.0255
1497,7,0.0255
1498,7,0.044
1499,7,0.044
1500,7,0.0287
1501,7,0.0287
1502,7,0.0262
1503,7,0.0262
1504,7,0.0212
1505,7,0.0212
1506,7,0.0267
1507,7,0.0267
1508,7,0.027
1509,7,0.027
1510,7,0.026
1511,7,0.026
1512,7,0.0308
1513,7,0.0308
1514,7,0.0377
1515,7,0.0377
1516,7,0.0536
1517,7,0.0536
1518,7,0.0324
1519,7,0.0324
1520,7,0.0495
1521,7,0.0495
1522,7,0.0424
1523,7,0.0424
1524,7,0.0325
1525,7,0.0325
1526,7,0.0525
1527,7,0.0525
1528,7,0.0333
1529,7,0.0333
1530,7,0.0298
1531,7,0.0298
1532,7,0.0297
1533,7,0.0297
1534,7,0.0259
1535,7,0.0259
1536,7,0.026
1537,7,0.026
1538,7,0.0333
1539,7,0.0333
1540,7,0.0293
1541,7,0.0293
1542,7,0.0324
1543,7,0.0324
1544,7,0.0429
1545,7,0.0429
1546,7,0.0234
